Designator,Footprint,Quantity,Value,LCSC Part #
"_24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,24,,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D4, D5, D6, D7, D8, D9",ComboDiode,29,,
MCU1,ProMicro,1,,
OLED1,OLED_headers,1,OLED,
"PAD1, PAD2",SMDPad,2,,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S3, S4, S5, S6, S7, S8, S9",PG1350,29,,
"T1, T2",SPDT_C128955,2,,
